pairs	target	gold	order	distractors	full_sent	prefix	sent
7089	are	is	y	0	It only takes one criteria( annoying, of course), but since your criteria is so simple you could easily use two of them.	It only takes one criteria( annoying, of course), but since your criteria	It only takes one criteria( annoying, of course), but since your criteria are
7090	use	use	x	0	Typically, automated globe valves use smooth stems rather than threaded and are opened and closed by an actuator assembly.	Typically, automated globe valves	Typically, automated globe valves use
7090	uses	use	y	0	Typically, automated globe valves use smooth stems rather than threaded and are opened and closed by an actuator assembly.	Typically, automated globe valves	Typically, automated globe valves uses
7091	are	are	x	2	The courses for the morning session are b.	The courses for the morning session	The courses for the morning session are
7091	is	are	y	2	The courses for the morning session are b.	The courses for the morning session	The courses for the morning session is
7092	include	include	x	2	Ilr alumni in human resource management include jp morgan chase chro john l.	Ilr alumni in human resource management	Ilr alumni in human resource management include
7092	includes	include	y	2	Ilr alumni in human resource management include jp morgan chase chro john l.	Ilr alumni in human resource management	Ilr alumni in human resource management includes
7093	are	are	x	1	The university's highlights in the region are the high investment in technology and investigation, reflected on its 64 laboratories, faculty staff with doctorate and master's degree, plus 29 research groups, 26 of them accepted by colciencias.	The university's highlights in the region	The university's highlights in the region are
7093	is	are	y	1	The university's highlights in the region are the high investment in technology and investigation, reflected on its 64 laboratories, faculty staff with doctorate and master's degree, plus 29 research groups, 26 of them accepted by colciencias.	The university's highlights in the region	The university's highlights in the region is
7094	is	is	x	2	The sum of all three tests or procedures is the triple test score.	The sum of all three tests or procedures	The sum of all three tests or procedures is
7094	are	is	y	2	The sum of all three tests or procedures is the triple test score.	The sum of all three tests or procedures	The sum of all three tests or procedures are
7095	produce	produce	x	0	Other folding arrangements produce yet smaller books such as the thirty-two-mo( 32mo)( duo et tricensimo).	Other folding arrangements	Other folding arrangements produce
7095	produces	produce	y	0	Other folding arrangements produce yet smaller books such as the thirty-two-mo( 32mo)( duo et tricensimo).	Other folding arrangements	Other folding arrangements produces
7096	are	are	x	3	The patterns of genetic relatedness and resource sharing are important variables for understanding the social structure of a village.	The patterns of genetic relatedness and resource sharing	The patterns of genetic relatedness and resource sharing are
7096	is	are	y	3	The patterns of genetic relatedness and resource sharing are important variables for understanding the social structure of a village.	The patterns of genetic relatedness and resource sharing	The patterns of genetic relatedness and resource sharing is
7097	are	are	x	3	The predominant areas of study at the downtown campus are business and media, computing and information, and international student entry programs.	The predominant areas of study at the downtown campus	The predominant areas of study at the downtown campus are
7097	is	are	y	3	The predominant areas of study at the downtown campus are business and media, computing and information, and international student entry programs.	The predominant areas of study at the downtown campus	The predominant areas of study at the downtown campus is
7098	include	include	x	2	Theories for the payment of compensation include the right to property, as protected by constitutional or common law, and the breach of a fiduciary duty.	Theories for the payment of compensation	Theories for the payment of compensation include
7098	includes	include	y	2	Theories for the payment of compensation include the right to property, as protected by constitutional or common law, and the breach of a fiduciary duty.	Theories for the payment of compensation	Theories for the payment of compensation includes
7099	speculate	speculate	x	0	Some sources speculate that the iibr also develops offensive capabilities in these fields.	Some sources	Some sources speculate
7099	speculates	speculate	y	0	Some sources speculate that the iibr also develops offensive capabilities in these fields.	Some sources	Some sources speculates
7100	have	have	x	3	The length of the carriageway between a successive merge or lane gain and diverge or lane drop, where vehicles leaving the mainline at the diverge or lane drop have to cross the paths of vehicles that have joined the mainline at the merge or lane gain.	The length of the carriageway between a successive merge or lane gain and diverge or lane drop, where vehicles leaving the mainline at the diverge or lane drop	The length of the carriageway between a successive merge or lane gain and diverge or lane drop, where vehicles leaving the mainline at the diverge or lane drop have
7100	has	have	y	3	The length of the carriageway between a successive merge or lane gain and diverge or lane drop, where vehicles leaving the mainline at the diverge or lane drop have to cross the paths of vehicles that have joined the mainline at the merge or lane gain.	The length of the carriageway between a successive merge or lane gain and diverge or lane drop, where vehicles leaving the mainline at the diverge or lane drop	The length of the carriageway between a successive merge or lane gain and diverge or lane drop, where vehicles leaving the mainline at the diverge or lane drop has
7101	covers	covers	x	1	The first half of the miniseries covers the murders.	The first half of the miniseries	The first half of the miniseries covers
7101	cover	covers	y	1	The first half of the miniseries covers the murders.	The first half of the miniseries	The first half of the miniseries cover
7102	include	include	x	2	The types of publication featured each year include everything from zines and self-published books to newsprint titles and glossy magazines, all of which are independently published.	The types of publication featured each year	The types of publication featured each year include
7102	includes	include	y	2	The types of publication featured each year include everything from zines and self-published books to newsprint titles and glossy magazines, all of which are independently published.	The types of publication featured each year	The types of publication featured each year includes
7103	consists	consists	x	0	A fastbus system consists of one or more segments.	A fastbus system	A fastbus system consists
7103	consist	consists	y	0	A fastbus system consists of one or more segments.	A fastbus system	A fastbus system consist
7104	carry	carry	x	1	Ocean viruses, which infect the plankton, carry genes of other organisms in addition to their own.	Ocean viruses, which infect the plankton,	Ocean viruses, which infect the plankton, carry
7104	carries	carry	y	1	Ocean viruses, which infect the plankton, carry genes of other organisms in addition to their own.	Ocean viruses, which infect the plankton,	Ocean viruses, which infect the plankton, carries
7105	are	are	x	1	Other ways of eliminating the ambiguity are possible; for instance, additional prepositions could be used( to my mother, to ayn rand, and to god) or the order could be reversed( to my mother, god, and ayn rand).	Other ways of eliminating the ambiguity	Other ways of eliminating the ambiguity are
7105	is	are	y	1	Other ways of eliminating the ambiguity are possible; for instance, additional prepositions could be used( to my mother, to ayn rand, and to god) or the order could be reversed( to my mother, god, and ayn rand).	Other ways of eliminating the ambiguity	Other ways of eliminating the ambiguity is
7106	include	include	x	0	Her administrative accomplishments, since the 1960s, include victoria and b.	Her administrative accomplishments, since the 1960s,	Her administrative accomplishments, since the 1960s, include
7106	includes	include	y	0	Her administrative accomplishments, since the 1960s, include victoria and b.	Her administrative accomplishments, since the 1960s,	Her administrative accomplishments, since the 1960s, includes
7107	are	are	x	2	Sliced boiled eggs or egg salad are popular options.	Sliced boiled eggs or egg salad	Sliced boiled eggs or egg salad are
7107	is	are	y	2	Sliced boiled eggs or egg salad are popular options.	Sliced boiled eggs or egg salad	Sliced boiled eggs or egg salad is
7108	include	include	x	1	Objects of criticism include the morality of the life of muhammad, the last prophet according to islam, both in his public and personal life.	Objects of criticism	Objects of criticism include
7108	includes	include	y	1	Objects of criticism include the morality of the life of muhammad, the last prophet according to islam, both in his public and personal life.	Objects of criticism	Objects of criticism includes
7109	is	is	x	3	Note also that apart from some listings on sports sites, there is only an in-passing mention in usa today.	Note also that apart from some listings on sports sites, there	Note also that apart from some listings on sports sites, there is
7109	are	is	y	3	Note also that apart from some listings on sports sites, there is only an in-passing mention in usa today.	Note also that apart from some listings on sports sites, there	Note also that apart from some listings on sports sites, there are
7110	are	are	x	2	Since 1999, general revaluations have been conducted on an annual basis to ensure that all rateable values in the valuation list are up-to-date and rates are charged equitably according to prevailing market rentals.	Since 1999, general revaluations have been conducted on an annual basis to ensure that all rateable values in the valuation list	Since 1999, general revaluations have been conducted on an annual basis to ensure that all rateable values in the valuation list are
7110	is	are	y	2	Since 1999, general revaluations have been conducted on an annual basis to ensure that all rateable values in the valuation list are up-to-date and rates are charged equitably according to prevailing market rentals.	Since 1999, general revaluations have been conducted on an annual basis to ensure that all rateable values in the valuation list	Since 1999, general revaluations have been conducted on an annual basis to ensure that all rateable values in the valuation list is
7111	leave	leave	x	4	These facts, combined with the fact that inclement weather would've prevented anyone from entering or exiting the island, ultimately leave the investigators confounded.	These facts, combined with the fact that inclement weather would've prevented anyone from entering or exiting the island, ultimately	These facts, combined with the fact that inclement weather would've prevented anyone from entering or exiting the island, ultimately leave
7111	leaves	leave	y	4	These facts, combined with the fact that inclement weather would've prevented anyone from entering or exiting the island, ultimately leave the investigators confounded.	These facts, combined with the fact that inclement weather would've prevented anyone from entering or exiting the island, ultimately	These facts, combined with the fact that inclement weather would've prevented anyone from entering or exiting the island, ultimately leaves
7112	are	are	x	2	Earthquakes of about the magnitude of the one described here are a common occurrence in the bay area.	Earthquakes of about the magnitude of the one described here	Earthquakes of about the magnitude of the one described here are
7112	is	are	y	2	Earthquakes of about the magnitude of the one described here are a common occurrence in the bay area.	Earthquakes of about the magnitude of the one described here	Earthquakes of about the magnitude of the one described here is
7113	is	is	x	0	Even homer himself visualizes that the only way he could win is if a heart defect fells tatum before entering the ring.	Even homer himself visualizes that the only way he could win	Even homer himself visualizes that the only way he could win is
7113	are	is	y	0	Even homer himself visualizes that the only way he could win is if a heart defect fells tatum before entering the ring.	Even homer himself visualizes that the only way he could win	Even homer himself visualizes that the only way he could win are
7114	is	is	x	0	Technically, the existence of the tangent half-angle formulae stems from the fact that the circle is an algebraic curve of genus 0.	Technically, the existence of the tangent half-angle formulae stems from the fact that the circle	Technically, the existence of the tangent half-angle formulae stems from the fact that the circle is
7114	are	is	y	0	Technically, the existence of the tangent half-angle formulae stems from the fact that the circle is an algebraic curve of genus 0.	Technically, the existence of the tangent half-angle formulae stems from the fact that the circle	Technically, the existence of the tangent half-angle formulae stems from the fact that the circle are
7115	indicate	indicate	x	1	Results of the psychiatric evaluation, obtained by associated press, indicate that aron was diagnosed with an adjustment disorder.	Results of the psychiatric evaluation, obtained by associated press,	Results of the psychiatric evaluation, obtained by associated press, indicate
7115	indicates	indicate	y	1	Results of the psychiatric evaluation, obtained by associated press, indicate that aron was diagnosed with an adjustment disorder.	Results of the psychiatric evaluation, obtained by associated press,	Results of the psychiatric evaluation, obtained by associated press, indicates
7116	suggests	suggests	x	2	The use of various methods( seven different methods are reported in all) suggests that no particular technique was believed to be the most proper or entirely condemned.	The use of various methods( seven different methods are reported in all)	The use of various methods( seven different methods are reported in all) suggests
7116	suggest	suggests	y	2	The use of various methods( seven different methods are reported in all) suggests that no particular technique was believed to be the most proper or entirely condemned.	The use of various methods( seven different methods are reported in all)	The use of various methods( seven different methods are reported in all) suggest
7117	include	include	x	1	Some challenges currently facing the city of crystal lake include a large and sudden increase in immigration, and an inconvenient road system leading to frequently snarled traffic.	Some challenges currently facing the city of crystal lake	Some challenges currently facing the city of crystal lake include
7117	includes	include	y	1	Some challenges currently facing the city of crystal lake include a large and sudden increase in immigration, and an inconvenient road system leading to frequently snarled traffic.	Some challenges currently facing the city of crystal lake	Some challenges currently facing the city of crystal lake includes
7118	are	are	x	3	Reservations for a guided walk during the breeding season are available by phone.	Reservations for a guided walk during the breeding season	Reservations for a guided walk during the breeding season are
7118	is	are	y	3	Reservations for a guided walk during the breeding season are available by phone.	Reservations for a guided walk during the breeding season	Reservations for a guided walk during the breeding season is
7119	requires	requires	x	1	The month day, year, style of writing dates requires a comma after the year, e.	The month day, year, style of writing dates	The month day, year, style of writing dates requires
7119	require	requires	y	1	The month day, year, style of writing dates requires a comma after the year, e.	The month day, year, style of writing dates	The month day, year, style of writing dates require
7120	are	are	x	4	This protection does not disappear even though intermediaries, such as the post office or a telephone company, are capable of accessing the content of communication.	This protection does not disappear even though intermediaries, such as the post office or a telephone company,	This protection does not disappear even though intermediaries, such as the post office or a telephone company, are
7120	is	are	y	4	This protection does not disappear even though intermediaries, such as the post office or a telephone company, are capable of accessing the content of communication.	This protection does not disappear even though intermediaries, such as the post office or a telephone company,	This protection does not disappear even though intermediaries, such as the post office or a telephone company, is
7121	is	is	x	1	Finally, an emerging union-side argument against comprehensive campaigns is that legal action may expose the union's internal operations and strategies to employer scrutiny.	Finally, an emerging union-side argument against comprehensive campaigns	Finally, an emerging union-side argument against comprehensive campaigns is
7121	are	is	y	1	Finally, an emerging union-side argument against comprehensive campaigns is that legal action may expose the union's internal operations and strategies to employer scrutiny.	Finally, an emerging union-side argument against comprehensive campaigns	Finally, an emerging union-side argument against comprehensive campaigns are
7122	are	are	x	0	Special advocates are not, however, in a solicitor-client relationship with the person named in the certificate.	Special advocates	Special advocates are
7122	is	are	y	0	Special advocates are not, however, in a solicitor-client relationship with the person named in the certificate.	Special advocates	Special advocates is
7123	get	get	x	2	Even people only distantly connected to the royal family get fairly significant coverage in the british press.	Even people only distantly connected to the royal family	Even people only distantly connected to the royal family get
7123	gets	get	y	2	Even people only distantly connected to the royal family get fairly significant coverage in the british press.	Even people only distantly connected to the royal family	Even people only distantly connected to the royal family gets
7124	is	is	x	0	The urbanized, oldest, and southernmost part of silver spring is a major business hub that lies at the north apex of washington, d.	The urbanized, oldest, and southernmost part of silver spring	The urbanized, oldest, and southernmost part of silver spring is
7124	are	is	y	0	The urbanized, oldest, and southernmost part of silver spring is a major business hub that lies at the north apex of washington, d.	The urbanized, oldest, and southernmost part of silver spring	The urbanized, oldest, and southernmost part of silver spring are
7125	are	are	x	0	The colours are coherent and complementary, and do not detract from the content.	The colours	The colours are
7125	is	are	y	0	The colours are coherent and complementary, and do not detract from the content.	The colours	The colours is
7126	is	is	x	2	However, some discussion of forms and techniques involved is essential.	However, some discussion of forms and techniques involved	However, some discussion of forms and techniques involved is
7126	are	is	y	2	However, some discussion of forms and techniques involved is essential.	However, some discussion of forms and techniques involved	However, some discussion of forms and techniques involved are
7127	serve	serve	x	2	Nevertheless, neff's studies, along with the information chronicled in baker's diary, serve to bolster a cogent and provocative alternate history of the lincoln assassination, one distinct from the chronology most commonly promulgated by mainstream u.	Nevertheless, neff's studies, along with the information chronicled in baker's diary,	Nevertheless, neff's studies, along with the information chronicled in baker's diary, serve
7127	serves	serve	y	2	Nevertheless, neff's studies, along with the information chronicled in baker's diary, serve to bolster a cogent and provocative alternate history of the lincoln assassination, one distinct from the chronology most commonly promulgated by mainstream u.	Nevertheless, neff's studies, along with the information chronicled in baker's diary,	Nevertheless, neff's studies, along with the information chronicled in baker's diary, serves
7128	is	is	x	0	The nearest interstate highway exit is exit 52 on interstate 55, near litchfield.	The nearest interstate highway exit	The nearest interstate highway exit is
7128	are	is	y	0	The nearest interstate highway exit is exit 52 on interstate 55, near litchfield.	The nearest interstate highway exit	The nearest interstate highway exit are
7129	are	are	x	4	As the tyranids are defeated gabriel reflects on how the emperor created the space marines to battle the untold horrors of the galaxy, warriors who would fight to the death to defend mankind, and how you and your strike force are those warriors.	As the tyranids are defeated gabriel reflects on how the emperor created the space marines to battle the untold horrors of the galaxy, warriors who would fight to the death to defend mankind, and how you and your strike force	As the tyranids are defeated gabriel reflects on how the emperor created the space marines to battle the untold horrors of the galaxy, warriors who would fight to the death to defend mankind, and how you and your strike force are
7129	is	are	y	4	As the tyranids are defeated gabriel reflects on how the emperor created the space marines to battle the untold horrors of the galaxy, warriors who would fight to the death to defend mankind, and how you and your strike force are those warriors.	As the tyranids are defeated gabriel reflects on how the emperor created the space marines to battle the untold horrors of the galaxy, warriors who would fight to the death to defend mankind, and how you and your strike force	As the tyranids are defeated gabriel reflects on how the emperor created the space marines to battle the untold horrors of the galaxy, warriors who would fight to the death to defend mankind, and how you and your strike force is
7130	are	are	x	3	Since 47 ursae majoris c was detected indirectly, properties such as its radius, composition, and temperature are unknown.	Since 47 ursae majoris c was detected indirectly, properties such as its radius, composition, and temperature	Since 47 ursae majoris c was detected indirectly, properties such as its radius, composition, and temperature are
7130	is	are	y	3	Since 47 ursae majoris c was detected indirectly, properties such as its radius, composition, and temperature are unknown.	Since 47 ursae majoris c was detected indirectly, properties such as its radius, composition, and temperature	Since 47 ursae majoris c was detected indirectly, properties such as its radius, composition, and temperature is
7131	are	are	x	2	The other major historic sites of this northeastern city which face destruction are robat-e sangan, khajeh azizollah mosque, shah qassem anvar mausoleum, noor mosque and abouzar bozjani mausoleum, he warned.	The other major historic sites of this northeastern city which face destruction	The other major historic sites of this northeastern city which face destruction are
7131	is	are	y	2	The other major historic sites of this northeastern city which face destruction are robat-e sangan, khajeh azizollah mosque, shah qassem anvar mausoleum, noor mosque and abouzar bozjani mausoleum, he warned.	The other major historic sites of this northeastern city which face destruction	The other major historic sites of this northeastern city which face destruction is
7132	are	are	x	1	In applications where the two legs of the loop are nearly parallel, a bowline is superior.	In applications where the two legs of the loop	In applications where the two legs of the loop are
7132	is	are	y	1	In applications where the two legs of the loop are nearly parallel, a bowline is superior.	In applications where the two legs of the loop	In applications where the two legs of the loop is
7133	features	features	x	0	Tv guide the living room features several colored mirrors, varying in shape and size.	Tv guide the living room	Tv guide the living room features
7133	feature	features	y	0	Tv guide the living room features several colored mirrors, varying in shape and size.	Tv guide the living room	Tv guide the living room feature
7134	are	are	x	0	Licaps can be used when drugs' ingredients are more stable as a liquid, such as in dietary supplements.	Licaps can be used when drugs' ingredients	Licaps can be used when drugs' ingredients are
7134	is	are	y	0	Licaps can be used when drugs' ingredients are more stable as a liquid, such as in dietary supplements.	Licaps can be used when drugs' ingredients	Licaps can be used when drugs' ingredients is
7135	are	are	x	4	For a 3d printer, the parameters of nozzle size and layer thickness are the things you need to specify, not angular precision.	For a 3d printer, the parameters of nozzle size and layer thickness	For a 3d printer, the parameters of nozzle size and layer thickness are
7135	is	are	y	4	For a 3d printer, the parameters of nozzle size and layer thickness are the things you need to specify, not angular precision.	For a 3d printer, the parameters of nozzle size and layer thickness	For a 3d printer, the parameters of nozzle size and layer thickness is
7136	is	is	x	0	In the uk, 50 mhz to 51 mhz is primary usage and the rest is secondary with power limitations.	In the uk, 50 mhz to 51 mhz is primary usage and the rest	In the uk, 50 mhz to 51 mhz is primary usage and the rest is
7136	are	is	y	0	In the uk, 50 mhz to 51 mhz is primary usage and the rest is secondary with power limitations.	In the uk, 50 mhz to 51 mhz is primary usage and the rest	In the uk, 50 mhz to 51 mhz is primary usage and the rest are
7137	collect	collect	x	2	The 344, 700 workers in the finance industry collect more than half of all the wages paid in manhattan, although they hold fewer than one of every six jobs in the borough.	The 344, 700 workers in the finance industry	The 344, 700 workers in the finance industry collect
7137	collects	collect	y	2	The 344, 700 workers in the finance industry collect more than half of all the wages paid in manhattan, although they hold fewer than one of every six jobs in the borough.	The 344, 700 workers in the finance industry	The 344, 700 workers in the finance industry collects
7138	make	make	x	0	Usually troops make use of macaleer lodge( affectionately referred to by most as cubtown, or the red roof inn) during this time, because of its heating system and indoor facilities.	Usually troops	Usually troops make
7138	makes	make	y	0	Usually troops make use of macaleer lodge( affectionately referred to by most as cubtown, or the red roof inn) during this time, because of its heating system and indoor facilities.	Usually troops	Usually troops makes
7139	is	is	x	1	The number of the circles is seven, the royal palace and the treasuries standing within the last.	The number of the circles	The number of the circles is
7139	are	is	y	1	The number of the circles is seven, the royal palace and the treasuries standing within the last.	The number of the circles	The number of the circles are
7140	include	include	x	3	Claimed benefits over steel wire housing include less weight, tighter curves, and less compression under load.	Claimed benefits over steel wire housing	Claimed benefits over steel wire housing include
7140	includes	include	y	3	Claimed benefits over steel wire housing include less weight, tighter curves, and less compression under load.	Claimed benefits over steel wire housing	Claimed benefits over steel wire housing includes
7141	feel	feel	x	3	Most graduates of university-level japanese courses take the level 2 examination, which is demanded by factories selling products to japanese buyers; however, employers in the hospitality and tourism industry feel level 3 examinees possess sufficient ability to deal with their job requirements.	Most graduates of university-level japanese courses take the level 2 examination, which is demanded by factories selling products to japanese buyers; however, employers in the hospitality and tourism industry	Most graduates of university-level japanese courses take the level 2 examination, which is demanded by factories selling products to japanese buyers; however, employers in the hospitality and tourism industry feel
7141	feels	feel	y	3	Most graduates of university-level japanese courses take the level 2 examination, which is demanded by factories selling products to japanese buyers; however, employers in the hospitality and tourism industry feel level 3 examinees possess sufficient ability to deal with their job requirements.	Most graduates of university-level japanese courses take the level 2 examination, which is demanded by factories selling products to japanese buyers; however, employers in the hospitality and tourism industry	Most graduates of university-level japanese courses take the level 2 examination, which is demanded by factories selling products to japanese buyers; however, employers in the hospitality and tourism industry feels
7142	is	is	x	2	Another aspect of older shooters it shares is a checkpoint system, beginning with the 3rd stage.	Another aspect of older shooters it shares	Another aspect of older shooters it shares is
7142	are	is	y	2	Another aspect of older shooters it shares is a checkpoint system, beginning with the 3rd stage.	Another aspect of older shooters it shares	Another aspect of older shooters it shares are
7143	are	are	x	0	Our only other concerns are to communicate the results of that research, as appropriate, to scholars and the general public, and to promote the introduction of new technologies and new techniques into irish archaeology.	Our only other concerns	Our only other concerns are
7143	is	are	y	0	Our only other concerns are to communicate the results of that research, as appropriate, to scholars and the general public, and to promote the introduction of new technologies and new techniques into irish archaeology.	Our only other concerns	Our only other concerns is
7144	depicts	depicts	x	0	The cave depicts, on its right, an image of the goddess mahishasuramardini.	The cave	The cave depicts
7144	depict	depicts	y	0	The cave depicts, on its right, an image of the goddess mahishasuramardini.	The cave	The cave depict
7145	are	are	x	1	The magnificent animals in the zoo are wild and possess all their natural instincts.	The magnificent animals in the zoo	The magnificent animals in the zoo are
7145	is	are	y	1	The magnificent animals in the zoo are wild and possess all their natural instincts.	The magnificent animals in the zoo	The magnificent animals in the zoo is
7146	are	are	x	3	As there are no objective criteria for determining who is a polymath and no recognised scholars of polymathism, all the references in this article which describe someone as a polymath are necessarily statements of opinion rather than fact and therefore can not be considered to be reliable sources.	As there are no objective criteria for determining who is a polymath and no recognised scholars of polymathism, all the references in this article which describe someone as a polymath	As there are no objective criteria for determining who is a polymath and no recognised scholars of polymathism, all the references in this article which describe someone as a polymath are
7146	is	are	y	3	As there are no objective criteria for determining who is a polymath and no recognised scholars of polymathism, all the references in this article which describe someone as a polymath are necessarily statements of opinion rather than fact and therefore can not be considered to be reliable sources.	As there are no objective criteria for determining who is a polymath and no recognised scholars of polymathism, all the references in this article which describe someone as a polymath	As there are no objective criteria for determining who is a polymath and no recognised scholars of polymathism, all the references in this article which describe someone as a polymath is
7147	are	are	x	3	Possibly unfree images, as their source and claim of permission are not clear in the image summaries.	Possibly unfree images, as their source and claim of permission	Possibly unfree images, as their source and claim of permission are
7147	is	are	y	3	Possibly unfree images, as their source and claim of permission are not clear in the image summaries.	Possibly unfree images, as their source and claim of permission	Possibly unfree images, as their source and claim of permission is
7148	include	include	x	2	Other vessels in the foundation's collection include the 1913 steam-powered tug the spirit of algoma and the 1916 steam-powered tug reiss.	Other vessels in the foundation's collection	Other vessels in the foundation's collection include
7148	includes	include	y	2	Other vessels in the foundation's collection include the 1913 steam-powered tug the spirit of algoma and the 1916 steam-powered tug reiss.	Other vessels in the foundation's collection	Other vessels in the foundation's collection includes
7149	is	is	x	0	The errors are not used in this article, but the end result is that the source can not be trusted.	The errors are not used in this article, but the end result	The errors are not used in this article, but the end result is
7149	are	is	y	0	The errors are not used in this article, but the end result is that the source can not be trusted.	The errors are not used in this article, but the end result	The errors are not used in this article, but the end result are
7150	is	is	x	0	The current design is by timothy guy morgan, who at the time was an undergraduate student at jesus college, after an open competition.	The current design	The current design is
7150	are	is	y	0	The current design is by timothy guy morgan, who at the time was an undergraduate student at jesus college, after an open competition.	The current design	The current design are
7151	are	are	x	2	In order to provide as much impartiality as possible, matters of rule interpretation are in the hands of a technical team of three model yachtsmen of great experience, none of whom has any regular connection with footys.	In order to provide as much impartiality as possible, matters of rule interpretation	In order to provide as much impartiality as possible, matters of rule interpretation are
7151	is	are	y	2	In order to provide as much impartiality as possible, matters of rule interpretation are in the hands of a technical team of three model yachtsmen of great experience, none of whom has any regular connection with footys.	In order to provide as much impartiality as possible, matters of rule interpretation	In order to provide as much impartiality as possible, matters of rule interpretation is
7152	suggest	suggest	x	4	Models of the evolution of the planet's orbit over time suggest that heating resulting from this tidal locking may play a major role in the planet's geology.	Models of the evolution of the planet's orbit over time	Models of the evolution of the planet's orbit over time suggest
7152	suggests	suggest	y	4	Models of the evolution of the planet's orbit over time suggest that heating resulting from this tidal locking may play a major role in the planet's geology.	Models of the evolution of the planet's orbit over time	Models of the evolution of the planet's orbit over time suggests
7153	conduct	conduct	x	0	To this end, sdt proponents maintain that it is imperative that therapists conduct themselves in ways that are likely to result in the achievement of such standing.	To this end, sdt proponents maintain that it is imperative that therapists	To this end, sdt proponents maintain that it is imperative that therapists conduct
7153	conducts	conduct	y	0	To this end, sdt proponents maintain that it is imperative that therapists conduct themselves in ways that are likely to result in the achievement of such standing.	To this end, sdt proponents maintain that it is imperative that therapists	To this end, sdt proponents maintain that it is imperative that therapists conducts
7154	are	are	x	1	Claims to fame are`` boxing commissioner of new jersey and abc vp.	Claims to fame	Claims to fame are
7154	is	are	y	1	Claims to fame are`` boxing commissioner of new jersey and abc vp.	Claims to fame	Claims to fame is
7155	are	are	x	0	Gla-domains of the coagulation system gamma-carboxyglutamate( gla) domains are responsible for the high-affinity binding of calcium ions.	Gla-domains of the coagulation system gamma-carboxyglutamate( gla) domains	Gla-domains of the coagulation system gamma-carboxyglutamate( gla) domains are
7155	is	are	y	0	Gla-domains of the coagulation system gamma-carboxyglutamate( gla) domains are responsible for the high-affinity binding of calcium ions.	Gla-domains of the coagulation system gamma-carboxyglutamate( gla) domains	Gla-domains of the coagulation system gamma-carboxyglutamate( gla) domains is
7156	are	are	x	2	The premises, off church street near the grant's cinema complex, are to become a`` market place'' with stalls for rent by small business and individuals.	The premises, off church street near the grant's cinema complex,	The premises, off church street near the grant's cinema complex, are
7156	is	are	y	2	The premises, off church street near the grant's cinema complex, are to become a`` market place'' with stalls for rent by small business and individuals.	The premises, off church street near the grant's cinema complex,	The premises, off church street near the grant's cinema complex, is
7157	are	are	x	1	Females, on the other hand, are solid green with occasional spotting or partial bands.	Females, on the other hand,	Females, on the other hand, are
7157	is	are	y	1	Females, on the other hand, are solid green with occasional spotting or partial bands.	Females, on the other hand,	Females, on the other hand, is
7158	separates	separates	x	0	However, a storm separates them, and lief and barda end up at sea, where they are picked up by a ghost ship, the lady luck.	However, a storm	However, a storm separates
7158	separate	separates	y	0	However, a storm separates them, and lief and barda end up at sea, where they are picked up by a ghost ship, the lady luck.	However, a storm	However, a storm separate
7159	serves	serves	x	0	Hvidøre todaytoday the hvidøre property serves as an internal conference and training centre for the novo group.	Hvidøre todaytoday the hvidøre property	Hvidøre todaytoday the hvidøre property serves
7159	serve	serves	y	0	Hvidøre todaytoday the hvidøre property serves as an internal conference and training centre for the novo group.	Hvidøre todaytoday the hvidøre property	Hvidøre todaytoday the hvidøre property serve
7160	make	make	x	2	Low points in the central mountain range fortunately make communications between lowlands on either side of the range moderately easy.	Low points in the central mountain range fortunately	Low points in the central mountain range fortunately make
7160	makes	make	y	2	Low points in the central mountain range fortunately make communications between lowlands on either side of the range moderately easy.	Low points in the central mountain range fortunately	Low points in the central mountain range fortunately makes
7161	draws	draws	x	0	This discipline draws information from a variety of overt and covert sources to provide the intelligence needed to support military operations, contingency planning, and to inform defence policy and procurement decisions.	This discipline	This discipline draws
7161	draw	draws	y	0	This discipline draws information from a variety of overt and covert sources to provide the intelligence needed to support military operations, contingency planning, and to inform defence policy and procurement decisions.	This discipline	This discipline draw
7162	is	is	x	2	The reason the labels are cut off for some users( myself included) is that the labels are rendering in a large typewriter font at full resolution, while the generated thumbnail seems to have them in something similar to trubuchet.	The reason the labels are cut off for some users( myself included)	The reason the labels are cut off for some users( myself included) is
7162	are	is	y	2	The reason the labels are cut off for some users( myself included) is that the labels are rendering in a large typewriter font at full resolution, while the generated thumbnail seems to have them in something similar to trubuchet.	The reason the labels are cut off for some users( myself included)	The reason the labels are cut off for some users( myself included) are
7163	become	become	x	1	No editor who serves cause to the effect will be blameless and should instead expect that i will become increasing larger, while stocks of food become proportionately smaller, ingressing famine, hunger, and starvation.	No editor who serves cause to the effect will be blameless and should instead expect that i will become increasing larger, while stocks of food	No editor who serves cause to the effect will be blameless and should instead expect that i will become increasing larger, while stocks of food become
7163	becomes	become	y	1	No editor who serves cause to the effect will be blameless and should instead expect that i will become increasing larger, while stocks of food become proportionately smaller, ingressing famine, hunger, and starvation.	No editor who serves cause to the effect will be blameless and should instead expect that i will become increasing larger, while stocks of food	No editor who serves cause to the effect will be blameless and should instead expect that i will become increasing larger, while stocks of food becomes
7164	are	are	x	1	The two first images in the set are from almost the same direction, but i agree it would have been neat if more photos were from the same camera location.	The two first images in the set	The two first images in the set are
7164	is	are	y	1	The two first images in the set are from almost the same direction, but i agree it would have been neat if more photos were from the same camera location.	The two first images in the set	The two first images in the set is
