pairs	order	P	T	prime	target
1972	x	Passive	Passive	a salad was eaten by a priest.	the candidate is helped by the secretary.
1972	y	Active	Passive	a priest ate a salad.	the candidate is helped by the secretary.
1973	y	Passive	Active	a salad was eaten by a priest.	the secretary helps the candidate.
1973	x	Active	Active	a priest ate a salad.	the secretary helps the candidate.
1974	x	Passive	Passive	a corporation was led by a student.	the candidate is helped by the secretary.
1974	y	Active	Passive	a student led a corporation.	the candidate is helped by the secretary.
1975	y	Passive	Active	a corporation was led by a student.	the secretary helps the candidate.
1975	x	Active	Active	a student led a corporation.	the secretary helps the candidate.
1976	x	Passive	Passive	a singer was understood by a wife.	the candidate is helped by the secretary.
1976	y	Active	Passive	a wife understood a singer.	the candidate is helped by the secretary.
1977	y	Passive	Active	a singer was understood by a wife.	the secretary helps the candidate.
1977	x	Active	Active	a wife understood a singer.	the secretary helps the candidate.
1978	x	Passive	Passive	a company was bothered by a kid.	the candidate is helped by the secretary.
1978	y	Active	Passive	a kid bothered a company.	the candidate is helped by the secretary.
1979	y	Passive	Active	a company was bothered by a kid.	the secretary helps the candidate.
1979	x	Active	Active	a kid bothered a company.	the secretary helps the candidate.
1980	x	Passive	Passive	a doctor was understood by a princess.	the girl is struck by the opponent.
1980	y	Active	Passive	a princess understood a doctor.	the girl is struck by the opponent.
1981	y	Passive	Active	a doctor was understood by a princess.	the opponent strikes the girl.
1981	x	Active	Active	a princess understood a doctor.	the opponent strikes the girl.
1982	x	Passive	Passive	a cheese was eaten by a champion.	the girl is struck by the opponent.
1982	y	Active	Passive	a champion ate a cheese.	the girl is struck by the opponent.
1983	y	Passive	Active	a cheese was eaten by a champion.	the opponent strikes the girl.
1983	x	Active	Active	a champion ate a cheese.	the opponent strikes the girl.
1984	x	Passive	Passive	a candy was smelled by a manager.	the girl is struck by the opponent.
1984	y	Active	Passive	a manager smelled a candy.	the girl is struck by the opponent.
1985	y	Passive	Active	a candy was smelled by a manager.	the opponent strikes the girl.
1985	x	Active	Active	a manager smelled a candy.	the opponent strikes the girl.
1986	x	Passive	Passive	a coffee was purchased by a scientist.	the girl is struck by the opponent.
1986	y	Active	Passive	a scientist purchased a coffee.	the girl is struck by the opponent.
1987	y	Passive	Active	a coffee was purchased by a scientist.	the opponent strikes the girl.
1987	x	Active	Active	a scientist purchased a coffee.	the opponent strikes the girl.
1988	x	Passive	Passive	a king was followed by a brother.	the girl is struck by the opponent.
1988	y	Active	Passive	a brother followed a king.	the girl is struck by the opponent.
1989	y	Passive	Active	a king was followed by a brother.	the opponent strikes the girl.
1989	x	Active	Active	a brother followed a king.	the opponent strikes the girl.
1990	x	Passive	Passive	a bag was destroyed by a writer.	the girl is struck by the opponent.
1990	y	Active	Passive	a writer destroyed a bag.	the girl is struck by the opponent.
1991	y	Passive	Active	a bag was destroyed by a writer.	the opponent strikes the girl.
1991	x	Active	Active	a writer destroyed a bag.	the opponent strikes the girl.
1992	x	Passive	Passive	a candy was discovered by an adult.	the girl is struck by the opponent.
1992	y	Active	Passive	an adult discovered a candy.	the girl is struck by the opponent.
1993	y	Passive	Active	a candy was discovered by an adult.	the opponent strikes the girl.
1993	x	Active	Active	an adult discovered a candy.	the opponent strikes the girl.
1994	x	Passive	Passive	a son was hurt by a captain.	the girl is struck by the opponent.
1994	y	Active	Passive	a captain hurt a son.	the girl is struck by the opponent.
1995	y	Passive	Active	a son was hurt by a captain.	the opponent strikes the girl.
1995	x	Active	Active	a captain hurt a son.	the opponent strikes the girl.
1996	x	Passive	Passive	a coffee was drunk by a colonel.	the girl is struck by the opponent.
1996	y	Active	Passive	a colonel drank a coffee.	the girl is struck by the opponent.
1997	y	Passive	Active	a coffee was drunk by a colonel.	the opponent strikes the girl.
1997	x	Active	Active	a colonel drank a coffee.	the opponent strikes the girl.
1998	x	Passive	Passive	a chicken was prepared by a cousin.	the girl is struck by the opponent.
1998	y	Active	Passive	a cousin prepared a chicken.	the girl is struck by the opponent.
1999	y	Passive	Active	a chicken was prepared by a cousin.	the opponent strikes the girl.
1999	x	Active	Active	a cousin prepared a chicken.	the opponent strikes the girl.
2000	x	Passive	Passive	a son was embraced by a nurse.	the hero is struck by the captain.
2000	y	Active	Passive	a nurse embraced a son.	the hero is struck by the captain.
2001	y	Passive	Active	a son was embraced by a nurse.	the captain strikes the hero.
2001	x	Active	Active	a nurse embraced a son.	the captain strikes the hero.
2002	x	Passive	Passive	a mother was forgiven by a physician.	the hero is struck by the captain.
2002	y	Active	Passive	a physician forgave a mother.	the hero is struck by the captain.
2003	y	Passive	Active	a mother was forgiven by a physician.	the captain strikes the hero.
2003	x	Active	Active	a physician forgave a mother.	the captain strikes the hero.
2004	x	Passive	Passive	a meal was eaten by a worker.	the hero is struck by the captain.
2004	y	Active	Passive	a worker ate a meal.	the hero is struck by the captain.
2005	y	Passive	Active	a meal was eaten by a worker.	the captain strikes the hero.
2005	x	Active	Active	a worker ate a meal.	the captain strikes the hero.
2006	x	Passive	Passive	a lawyer was destroyed by a princess.	the hero is struck by the captain.
2006	y	Active	Passive	a princess destroyed a lawyer.	the hero is struck by the captain.
2007	y	Passive	Active	a lawyer was destroyed by a princess.	the captain strikes the hero.
2007	x	Active	Active	a princess destroyed a lawyer.	the captain strikes the hero.
2008	x	Passive	Passive	an instrument was wrapped by a nurse.	the hero is struck by the captain.
2008	y	Active	Passive	a nurse wrapped an instrument.	the hero is struck by the captain.
2009	y	Passive	Active	an instrument was wrapped by a nurse.	the captain strikes the hero.
2009	x	Active	Active	a nurse wrapped an instrument.	the captain strikes the hero.
2010	x	Passive	Passive	a cheese was grabbed by a candidate.	the hero is struck by the captain.
2010	y	Active	Passive	a candidate grabbed a cheese.	the hero is struck by the captain.
2011	y	Passive	Active	a cheese was grabbed by a candidate.	the captain strikes the hero.
2011	x	Active	Active	a candidate grabbed a cheese.	the captain strikes the hero.
2012	x	Passive	Passive	a glass was left by a cop.	the hero is struck by the captain.
2012	y	Active	Passive	a cop left a glass.	the hero is struck by the captain.
2013	y	Passive	Active	a glass was left by a cop.	the captain strikes the hero.
2013	x	Active	Active	a cop left a glass.	the captain strikes the hero.
2014	x	Passive	Passive	a guy was taught by a soldier.	the hero is struck by the captain.
2014	y	Active	Passive	a soldier taught a guy.	the hero is struck by the captain.
2015	y	Passive	Active	a guy was taught by a soldier.	the captain strikes the hero.
2015	x	Active	Active	a soldier taught a guy.	the captain strikes the hero.
2016	x	Passive	Passive	a cousin was helped by a wife.	the hero is struck by the captain.
2016	y	Active	Passive	a wife helped a cousin.	the hero is struck by the captain.
2017	y	Passive	Active	a cousin was helped by a wife.	the captain strikes the hero.
2017	x	Active	Active	a wife helped a cousin.	the captain strikes the hero.
2018	x	Passive	Passive	a physician was surprised by an adult.	the hero is struck by the captain.
2018	y	Active	Passive	an adult surprised a physician.	the hero is struck by the captain.
2019	y	Passive	Active	a physician was surprised by an adult.	the captain strikes the hero.
2019	x	Active	Active	an adult surprised a physician.	the captain strikes the hero.
2020	x	Passive	Passive	a business is led by a prince.	the button was selected by the soldier.
2020	y	Active	Passive	a prince leads a business.	the button was selected by the soldier.
2021	y	Passive	Active	a business is led by a prince.	the soldier selected the button.
2021	x	Active	Active	a prince leads a business.	the soldier selected the button.
2022	x	Passive	Passive	a bowl is left by a singer.	the button was selected by the soldier.
2022	y	Active	Passive	a singer leaves a bowl.	the button was selected by the soldier.
2023	y	Passive	Active	a bowl is left by a singer.	the soldier selected the button.
2023	x	Active	Active	a singer leaves a bowl.	the soldier selected the button.
2024	x	Passive	Passive	a flower is used by an administration.	the button was selected by the soldier.
2024	y	Active	Passive	an administration uses a flower.	the button was selected by the soldier.
2025	y	Passive	Active	a flower is used by an administration.	the soldier selected the button.
2025	x	Active	Active	an administration uses a flower.	the soldier selected the button.
2026	x	Passive	Passive	a cheese is purchased by a corporation.	the button was selected by the soldier.
2026	y	Active	Passive	a corporation purchases a cheese.	the button was selected by the soldier.
2027	y	Passive	Active	a cheese is purchased by a corporation.	the soldier selected the button.
2027	x	Active	Active	a corporation purchases a cheese.	the soldier selected the button.
2028	x	Passive	Passive	a candidate is forgiven by an actor.	the button was selected by the soldier.
2028	y	Active	Passive	an actor forgives a candidate.	the button was selected by the soldier.
2029	y	Passive	Active	a candidate is forgiven by an actor.	the soldier selected the button.
2029	x	Active	Active	an actor forgives a candidate.	the soldier selected the button.
2030	x	Passive	Passive	a cigarette is carried by a nurse.	the button was selected by the soldier.
2030	y	Active	Passive	a nurse carries a cigarette.	the button was selected by the soldier.
2031	y	Passive	Active	a cigarette is carried by a nurse.	the soldier selected the button.
2031	x	Active	Active	a nurse carries a cigarette.	the soldier selected the button.
2032	x	Passive	Passive	a cigarette is accepted by an employer.	the button was selected by the soldier.
2032	y	Active	Passive	an employer accepts a cigarette.	the button was selected by the soldier.
2033	y	Passive	Active	a cigarette is accepted by an employer.	the soldier selected the button.
2033	x	Active	Active	an employer accepts a cigarette.	the soldier selected the button.
2034	x	Passive	Passive	a glass is used by a hero.	the button was selected by the soldier.
2034	y	Active	Passive	a hero uses a glass.	the button was selected by the soldier.
2035	y	Passive	Active	a glass is used by a hero.	the soldier selected the button.
2035	x	Active	Active	a hero uses a glass.	the soldier selected the button.
2036	x	Passive	Passive	a company is asked by a president.	the button was selected by the soldier.
2036	y	Active	Passive	a president asks a company.	the button was selected by the soldier.
2037	y	Passive	Active	a company is asked by a president.	the soldier selected the button.
2037	x	Active	Active	a president asks a company.	the soldier selected the button.
2038	x	Passive	Passive	a champion is surprised by a princess.	the button was selected by the soldier.
2038	y	Active	Passive	a princess surprises a champion.	the button was selected by the soldier.
2039	y	Passive	Active	a champion is surprised by a princess.	the soldier selected the button.
2039	x	Active	Active	a princess surprises a champion.	the soldier selected the button.
2040	x	Passive	Passive	a parent is forgiven by a pilot.	the coat was wrapped by the winner.
2040	y	Active	Passive	a pilot forgives a parent.	the coat was wrapped by the winner.
2041	y	Passive	Active	a parent is forgiven by a pilot.	the winner wrapped the coat.
2041	x	Active	Active	a pilot forgives a parent.	the winner wrapped the coat.
2042	x	Passive	Passive	a key is left by a princess.	the coat was wrapped by the winner.
2042	y	Active	Passive	a princess leaves a key.	the coat was wrapped by the winner.
2043	y	Passive	Active	a key is left by a princess.	the winner wrapped the coat.
2043	x	Active	Active	a princess leaves a key.	the winner wrapped the coat.
2044	x	Passive	Passive	a cup is accepted by a president.	the coat was wrapped by the winner.
2044	y	Active	Passive	a president accepts a cup.	the coat was wrapped by the winner.
2045	y	Passive	Active	a cup is accepted by a president.	the winner wrapped the coat.
2045	x	Active	Active	a president accepts a cup.	the winner wrapped the coat.
2046	x	Passive	Passive	a physician is kissed by a worker.	the coat was wrapped by the winner.
2046	y	Active	Passive	a worker kisses a physician.	the coat was wrapped by the winner.
2047	y	Passive	Active	a physician is kissed by a worker.	the winner wrapped the coat.
2047	x	Active	Active	a worker kisses a physician.	the winner wrapped the coat.
2048	x	Passive	Passive	a friend is beaten by an adult.	the coat was wrapped by the winner.
2048	y	Active	Passive	an adult beats a friend.	the coat was wrapped by the winner.
2049	y	Passive	Active	a friend is beaten by an adult.	the winner wrapped the coat.
2049	x	Active	Active	an adult beats a friend.	the winner wrapped the coat.
2050	x	Passive	Passive	a boy is forgiven by a son.	the coat was wrapped by the winner.
2050	y	Active	Passive	a son forgives a boy.	the coat was wrapped by the winner.
2051	y	Passive	Active	a boy is forgiven by a son.	the winner wrapped the coat.
2051	x	Active	Active	a son forgives a boy.	the winner wrapped the coat.
2052	x	Passive	Passive	a man is raised by a father.	the coat was wrapped by the winner.
2052	y	Active	Passive	a father raises a man.	the coat was wrapped by the winner.
2053	y	Passive	Active	a man is raised by a father.	the winner wrapped the coat.
2053	x	Active	Active	a father raises a man.	the winner wrapped the coat.
2054	x	Passive	Passive	an author is understood by a woman.	the coat was wrapped by the winner.
2054	y	Active	Passive	a woman understands an author.	the coat was wrapped by the winner.
2055	y	Passive	Active	an author is understood by a woman.	the winner wrapped the coat.
2055	x	Active	Active	a woman understands an author.	the winner wrapped the coat.
2056	x	Passive	Passive	a tea is drunk by a cousin.	the coat was wrapped by the winner.
2056	y	Active	Passive	a cousin drinks a tea.	the coat was wrapped by the winner.
2057	y	Passive	Active	a tea is drunk by a cousin.	the winner wrapped the coat.
2057	x	Active	Active	a cousin drinks a tea.	the winner wrapped the coat.
2058	x	Passive	Passive	a cup is wanted by a corporation.	the coat was wrapped by the winner.
2058	y	Active	Passive	a corporation wants a cup.	the coat was wrapped by the winner.
2059	y	Passive	Active	a cup is wanted by a corporation.	the winner wrapped the coat.
2059	x	Active	Active	a corporation wants a cup.	the winner wrapped the coat.
2060	x	Passive	Passive	the camera was dragged by the mother.	a princess is carried by a guy.
2060	y	Active	Passive	the mother dragged the camera.	a princess is carried by a guy.
2061	y	Passive	Active	the camera was dragged by the mother.	a guy carries a princess.
2061	x	Active	Active	the mother dragged the camera.	a guy carries a princess.
2062	x	Passive	Passive	the flower was washed by the lady.	a princess is carried by a guy.
2062	y	Active	Passive	the lady washed the flower.	a princess is carried by a guy.
2063	y	Passive	Active	the flower was washed by the lady.	a guy carries a princess.
2063	x	Active	Active	the lady washed the flower.	a guy carries a princess.
2064	x	Passive	Passive	the coat was described by the friend.	a princess is carried by a guy.
2064	y	Active	Passive	the friend described the coat.	a princess is carried by a guy.
2065	y	Passive	Active	the coat was described by the friend.	a guy carries a princess.
2065	x	Active	Active	the friend described the coat.	a guy carries a princess.
2066	x	Passive	Passive	the cheese was caught by the hero.	a princess is carried by a guy.
2066	y	Active	Passive	the hero caught the cheese.	a princess is carried by a guy.
2067	y	Passive	Active	the cheese was caught by the hero.	a guy carries a princess.
2067	x	Active	Active	the hero caught the cheese.	a guy carries a princess.
2068	x	Passive	Passive	the television was prepared by the leader.	a princess is carried by a guy.
2068	y	Active	Passive	the leader prepared the television.	a princess is carried by a guy.
2069	y	Passive	Active	the television was prepared by the leader.	a guy carries a princess.
2069	x	Active	Active	the leader prepared the television.	a guy carries a princess.
2070	x	Passive	Passive	the army was judged by the child.	a princess is carried by a guy.
2070	y	Active	Passive	the child judged the army.	a princess is carried by a guy.
2071	y	Passive	Active	the army was judged by the child.	a guy carries a princess.
2071	x	Active	Active	the child judged the army.	a guy carries a princess.
2072	x	Passive	Passive	the tea was smelled by the actress.	a princess is carried by a guy.
2072	y	Active	Passive	the actress smelled the tea.	a princess is carried by a guy.
2073	y	Passive	Active	the tea was smelled by the actress.	a guy carries a princess.
2073	x	Active	Active	the actress smelled the tea.	a guy carries a princess.
2074	x	Passive	Passive	the candy was smelled by the worker.	a princess is carried by a guy.
2074	y	Active	Passive	the worker smelled the candy.	a princess is carried by a guy.
2075	y	Passive	Active	the candy was smelled by the worker.	a guy carries a princess.
2075	x	Active	Active	the worker smelled the candy.	a guy carries a princess.
2076	x	Passive	Passive	the machine was removed by the parent.	a princess is carried by a guy.
2076	y	Active	Passive	the parent removed the machine.	a princess is carried by a guy.
2077	y	Passive	Active	the machine was removed by the parent.	a guy carries a princess.
2077	x	Active	Active	the parent removed the machine.	a guy carries a princess.
2078	x	Passive	Passive	the army was hurt by the teacher.	a princess is carried by a guy.
2078	y	Active	Passive	the teacher hurt the army.	a princess is carried by a guy.
2079	y	Passive	Active	the army was hurt by the teacher.	a guy carries a princess.
2079	x	Active	Active	the teacher hurt the army.	a guy carries a princess.
2080	x	Passive	Passive	the club is bothered by the kid.	a pot was left by a president.
2080	y	Active	Passive	the kid bothers the club.	a pot was left by a president.
2081	y	Passive	Active	the club is bothered by the kid.	a president left a pot.
2081	x	Active	Active	the kid bothers the club.	a president left a pot.
2082	x	Passive	Passive	the machine is selected by the employer.	a pot was left by a president.
2082	y	Active	Passive	the employer selects the machine.	a pot was left by a president.
2083	y	Passive	Active	the machine is selected by the employer.	a president left a pot.
2083	x	Active	Active	the employer selects the machine.	a president left a pot.
2084	x	Passive	Passive	the computer is accepted by the guy.	a pot was left by a president.
2084	y	Active	Passive	the guy accepts the computer.	a pot was left by a president.
2085	y	Passive	Active	the computer is accepted by the guy.	a president left a pot.
2085	x	Active	Active	the guy accepts the computer.	a president left a pot.
2086	x	Passive	Passive	the attorney is discovered by the winner.	a pot was left by a president.
2086	y	Active	Passive	the winner discovers the attorney.	a pot was left by a president.
2087	y	Passive	Active	the attorney is discovered by the winner.	a president left a pot.
2087	x	Active	Active	the winner discovers the attorney.	a president left a pot.
2088	x	Passive	Passive	the computer is kept by the cousin.	a pot was left by a president.
2088	y	Active	Passive	the cousin keeps the computer.	a pot was left by a president.
2089	y	Passive	Active	the computer is kept by the cousin.	a president left a pot.
2089	x	Active	Active	the cousin keeps the computer.	a president left a pot.
2090	x	Passive	Passive	the chocolate is caught by the hero.	a pot was left by a president.
2090	y	Active	Passive	the hero catches the chocolate.	a pot was left by a president.
2091	y	Passive	Active	the chocolate is caught by the hero.	a president left a pot.
2091	x	Active	Active	the hero catches the chocolate.	a president left a pot.
2092	x	Passive	Passive	the winner is comforted by the opponent.	a pot was left by a president.
2092	y	Active	Passive	the opponent comforts the winner.	a pot was left by a president.
2093	y	Passive	Active	the winner is comforted by the opponent.	a president left a pot.
2093	x	Active	Active	the opponent comforts the winner.	a president left a pot.
2094	x	Passive	Passive	the attorney is killed by the friend.	a pot was left by a president.
2094	y	Active	Passive	the friend kills the attorney.	a pot was left by a president.
2095	y	Passive	Active	the attorney is killed by the friend.	a president left a pot.
2095	x	Active	Active	the friend kills the attorney.	a president left a pot.
2096	x	Passive	Passive	the book is accepted by the parent.	a pot was left by a president.
2096	y	Active	Passive	the parent accepts the book.	a pot was left by a president.
2097	y	Passive	Active	the book is accepted by the parent.	a president left a pot.
2097	x	Active	Active	the parent accepts the book.	a president left a pot.
2098	x	Passive	Passive	the professor is killed by the adult.	a pot was left by a president.
2098	y	Active	Passive	the adult kills the professor.	a pot was left by a president.
2099	y	Passive	Active	the professor is killed by the adult.	a president left a pot.
2099	x	Active	Active	the adult kills the professor.	a president left a pot.
2100	x	Passive	Passive	a cheese is grabbed by an actress.	the adult was hurried by the man.
2100	y	Active	Passive	an actress grabs a cheese.	the adult was hurried by the man.
2101	y	Passive	Active	a cheese is grabbed by an actress.	the man hurried the adult.
2101	x	Active	Active	an actress grabs a cheese.	the man hurried the adult.
2102	x	Passive	Passive	a wire is raised by an aunt.	the adult was hurried by the man.
2102	y	Active	Passive	an aunt raises a wire.	the adult was hurried by the man.
2103	y	Passive	Active	a wire is raised by an aunt.	the man hurried the adult.
2103	x	Active	Active	an aunt raises a wire.	the man hurried the adult.
2104	x	Passive	Passive	a salad is tasted by a teacher.	the adult was hurried by the man.
2104	y	Active	Passive	a teacher tastes a salad.	the adult was hurried by the man.
2105	y	Passive	Active	a salad is tasted by a teacher.	the man hurried the adult.
2105	x	Active	Active	a teacher tastes a salad.	the man hurried the adult.
2106	x	Passive	Passive	a club is bothered by a bishop.	the adult was hurried by the man.
2106	y	Active	Passive	a bishop bothers a club.	the adult was hurried by the man.
2107	y	Passive	Active	a club is bothered by a bishop.	the man hurried the adult.
2107	x	Active	Active	a bishop bothers a club.	the man hurried the adult.
2108	x	Passive	Passive	a daughter is joined by a teacher.	the adult was hurried by the man.
2108	y	Active	Passive	a teacher joins a daughter.	the adult was hurried by the man.
2109	y	Passive	Active	a daughter is joined by a teacher.	the man hurried the adult.
2109	x	Active	Active	a teacher joins a daughter.	the man hurried the adult.
2110	x	Passive	Passive	a minister is asked by a student.	the adult was hurried by the man.
2110	y	Active	Passive	a student asks a minister.	the adult was hurried by the man.
2111	y	Passive	Active	a minister is asked by a student.	the man hurried the adult.
2111	x	Active	Active	a student asks a minister.	the man hurried the adult.
2112	x	Passive	Passive	a club is followed by a scientist.	the adult was hurried by the man.
2112	y	Active	Passive	a scientist follows a club.	the adult was hurried by the man.
2113	y	Passive	Active	a club is followed by a scientist.	the man hurried the adult.
2113	x	Active	Active	a scientist follows a club.	the man hurried the adult.
2114	x	Passive	Passive	a meal is wanted by a company.	the adult was hurried by the man.
2114	y	Active	Passive	a company wants a meal.	the adult was hurried by the man.
2115	y	Passive	Active	a meal is wanted by a company.	the man hurried the adult.
2115	x	Active	Active	a company wants a meal.	the man hurried the adult.
2116	x	Passive	Passive	a cop is described by a minister.	the adult was hurried by the man.
2116	y	Active	Passive	a minister describes a cop.	the adult was hurried by the man.
2117	y	Passive	Active	a cop is described by a minister.	the man hurried the adult.
2117	x	Active	Active	a minister describes a cop.	the man hurried the adult.
2118	x	Passive	Passive	a beer is drunk by an employer.	the adult was hurried by the man.
2118	y	Active	Passive	an employer drinks a beer.	the adult was hurried by the man.
2119	y	Passive	Active	a beer is drunk by an employer.	the man hurried the adult.
2119	x	Active	Active	an employer drinks a beer.	the man hurried the adult.
2120	x	Passive	Passive	a chocolate was eaten by a chief.	the uncle is struck by the lady.
2120	y	Active	Passive	a chief ate a chocolate.	the uncle is struck by the lady.
2121	y	Passive	Active	a chocolate was eaten by a chief.	the lady strikes the uncle.
2121	x	Active	Active	a chief ate a chocolate.	the lady strikes the uncle.
2122	x	Passive	Passive	a daughter was destroyed by a leader.	the uncle is struck by the lady.
2122	y	Active	Passive	a leader destroyed a daughter.	the uncle is struck by the lady.
2123	y	Passive	Active	a daughter was destroyed by a leader.	the lady strikes the uncle.
2123	x	Active	Active	a leader destroyed a daughter.	the lady strikes the uncle.
2124	x	Passive	Passive	a cup was left by a boy.	the uncle is struck by the lady.
2124	y	Active	Passive	a boy left a cup.	the uncle is struck by the lady.
2125	y	Passive	Active	a cup was left by a boy.	the lady strikes the uncle.
2125	x	Active	Active	a boy left a cup.	the lady strikes the uncle.
2126	x	Passive	Passive	a juice was drunk by a sheriff.	the uncle is struck by the lady.
2126	y	Active	Passive	a sheriff drank a juice.	the uncle is struck by the lady.
2127	y	Passive	Active	a juice was drunk by a sheriff.	the lady strikes the uncle.
2127	x	Active	Active	a sheriff drank a juice.	the lady strikes the uncle.
2128	x	Passive	Passive	a computer was accepted by a student.	the uncle is struck by the lady.
2128	y	Active	Passive	a student accepted a computer.	the uncle is struck by the lady.
2129	y	Passive	Active	a computer was accepted by a student.	the lady strikes the uncle.
2129	x	Active	Active	a student accepted a computer.	the lady strikes the uncle.
2130	x	Passive	Passive	a band was led by a worker.	the uncle is struck by the lady.
2130	y	Active	Passive	a worker led a band.	the uncle is struck by the lady.
2131	y	Passive	Active	a band was led by a worker.	the lady strikes the uncle.
2131	x	Active	Active	a worker led a band.	the lady strikes the uncle.
2132	x	Passive	Passive	a boy was helped by a parent.	the uncle is struck by the lady.
2132	y	Active	Passive	a parent helped a boy.	the uncle is struck by the lady.
2133	y	Passive	Active	a boy was helped by a parent.	the lady strikes the uncle.
2133	x	Active	Active	a parent helped a boy.	the lady strikes the uncle.
2134	x	Passive	Passive	a beer was described by a daughter.	the uncle is struck by the lady.
2134	y	Active	Passive	a daughter described a beer.	the uncle is struck by the lady.
2135	y	Passive	Active	a beer was described by a daughter.	the lady strikes the uncle.
2135	x	Active	Active	a daughter described a beer.	the lady strikes the uncle.
2136	x	Passive	Passive	a wife was killed by a champion.	the uncle is struck by the lady.
2136	y	Active	Passive	a champion killed a wife.	the uncle is struck by the lady.
2137	y	Passive	Active	a wife was killed by a champion.	the lady strikes the uncle.
2137	x	Active	Active	a champion killed a wife.	the lady strikes the uncle.
2138	x	Passive	Passive	a nurse was helped by a daughter.	the uncle is struck by the lady.
2138	y	Active	Passive	a daughter helped a nurse.	the uncle is struck by the lady.
2139	y	Passive	Active	a nurse was helped by a daughter.	the lady strikes the uncle.
2139	x	Active	Active	a daughter helped a nurse.	the lady strikes the uncle.
2140	x	Passive	Passive	the child is struck by the husband.	a coffee was forgotten by a teacher.
2140	y	Active	Passive	the husband strikes the child.	a coffee was forgotten by a teacher.
2141	y	Passive	Active	the child is struck by the husband.	a teacher forgot a coffee.
2141	x	Active	Active	the husband strikes the child.	a teacher forgot a coffee.
2142	x	Passive	Passive	the hero is embraced by the cop.	a coffee was forgotten by a teacher.
2142	y	Active	Passive	the cop embraces the hero.	a coffee was forgotten by a teacher.
2143	y	Passive	Active	the hero is embraced by the cop.	a teacher forgot a coffee.
2143	x	Active	Active	the cop embraces the hero.	a teacher forgot a coffee.
2144	x	Passive	Passive	the band is chased by the woman.	a coffee was forgotten by a teacher.
2144	y	Active	Passive	the woman chases the band.	a coffee was forgotten by a teacher.
2145	y	Passive	Active	the band is chased by the woman.	a teacher forgot a coffee.
2145	x	Active	Active	the woman chases the band.	a teacher forgot a coffee.
2146	x	Passive	Passive	the employer is comforted by the writer.	a coffee was forgotten by a teacher.
2146	y	Active	Passive	the writer comforts the employer.	a coffee was forgotten by a teacher.
2147	y	Passive	Active	the employer is comforted by the writer.	a teacher forgot a coffee.
2147	x	Active	Active	the writer comforts the employer.	a teacher forgot a coffee.
2148	x	Passive	Passive	the knife is prepared by the guy.	a coffee was forgotten by a teacher.
2148	y	Active	Passive	the guy prepares the knife.	a coffee was forgotten by a teacher.
2149	y	Passive	Active	the knife is prepared by the guy.	a teacher forgot a coffee.
2149	x	Active	Active	the guy prepares the knife.	a teacher forgot a coffee.
2150	x	Passive	Passive	the prince is understood by the cousin.	a coffee was forgotten by a teacher.
2150	y	Active	Passive	the cousin understands the prince.	a coffee was forgotten by a teacher.
2151	y	Passive	Active	the prince is understood by the cousin.	a teacher forgot a coffee.
2151	x	Active	Active	the cousin understands the prince.	a teacher forgot a coffee.
2152	x	Passive	Passive	the aunt is asked by the president.	a coffee was forgotten by a teacher.
2152	y	Active	Passive	the president asks the aunt.	a coffee was forgotten by a teacher.
2153	y	Passive	Active	the aunt is asked by the president.	a teacher forgot a coffee.
2153	x	Active	Active	the president asks the aunt.	a teacher forgot a coffee.
2154	x	Passive	Passive	the candidate is hurried by the adult.	a coffee was forgotten by a teacher.
2154	y	Active	Passive	the adult hurries the candidate.	a coffee was forgotten by a teacher.
2155	y	Passive	Active	the candidate is hurried by the adult.	a teacher forgot a coffee.
2155	x	Active	Active	the adult hurries the candidate.	a teacher forgot a coffee.
2156	x	Passive	Passive	the bishop is understood by the captain.	a coffee was forgotten by a teacher.
2156	y	Active	Passive	the captain understands the bishop.	a coffee was forgotten by a teacher.
2157	y	Passive	Active	the bishop is understood by the captain.	a teacher forgot a coffee.
2157	x	Active	Active	the captain understands the bishop.	a teacher forgot a coffee.
2158	x	Passive	Passive	the captain is comforted by the actress.	a coffee was forgotten by a teacher.
2158	y	Active	Passive	the actress comforts the captain.	a coffee was forgotten by a teacher.
2159	y	Passive	Active	the captain is comforted by the actress.	a teacher forgot a coffee.
2159	x	Active	Active	the actress comforts the captain.	a teacher forgot a coffee.
2160	x	Passive	Passive	an iron was caught by a hero.	the writer is hurried by the secretary.
2160	y	Active	Passive	a hero caught an iron.	the writer is hurried by the secretary.
2161	y	Passive	Active	an iron was caught by a hero.	the secretary hurries the writer.
2161	x	Active	Active	a hero caught an iron.	the secretary hurries the writer.
2162	x	Passive	Passive	a bowl was destroyed by a candidate.	the writer is hurried by the secretary.
2162	y	Active	Passive	a candidate destroyed a bowl.	the writer is hurried by the secretary.
2163	y	Passive	Active	a bowl was destroyed by a candidate.	the secretary hurries the writer.
2163	x	Active	Active	a candidate destroyed a bowl.	the secretary hurries the writer.
2164	x	Passive	Passive	a mother was described by a nurse.	the writer is hurried by the secretary.
2164	y	Active	Passive	a nurse described a mother.	the writer is hurried by the secretary.
2165	y	Passive	Active	a mother was described by a nurse.	the secretary hurries the writer.
2165	x	Active	Active	a nurse described a mother.	the secretary hurries the writer.
2166	x	Passive	Passive	a chocolate was eaten by a kid.	the writer is hurried by the secretary.
2166	y	Active	Passive	a kid ate a chocolate.	the writer is hurried by the secretary.
2167	y	Passive	Active	a chocolate was eaten by a kid.	the secretary hurries the writer.
